,const,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_date,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,no_of_week_nights_log,lead_time_log,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,required_car_parking_space_Yes,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,arrival_year_2018,arrival_month_August,arrival_month_December,arrival_month_February,arrival_month_January,arrival_month_July,arrival_month_June,arrival_month_March,arrival_month_May,arrival_month_November,arrival_month_October,arrival_month_September,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,repeated_guest_Yes,booking_status
0,1.0,2,1,1,3,33.0,9,0,0,143.1,0,1.3862943611198906,3.5263605246161616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1.0,1,0,3,6,2.0,5,0,0,91.67,0,1.9459101490553132,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1.0,2,0,1,3,39.0,24,0,0,85.0,0,1.3862943611198906,3.6888794541139363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3,1.0,2,0,2,2,90.0,7,0,0,119.85,0,1.0986122886681098,4.51085950651685,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,1.0,1,0,0,3,71.0,14,0,0,120.0,0,1.3862943611198906,4.276666119016055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,1.0,1,0,1,0,5.0,12,0,0,110.0,0,0.0,1.791759469228055,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,1.0,2,0,1,0,8.0,24,0,0,101.0,0,0.0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7,1.0,1,1,0,3,127.0,27,0,0,84.05,1,1.3862943611198906,4.852030263919617,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8,1.0,1,0,0,2,103.0,19,0,0,115.0,0,1.0986122886681098,4.6443908991413725,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9,1.0,2,0,0,2,245.0,17,0,0,75.0,0,1.0986122886681098,5.5053315359323625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
10,1.0,2,0,0,2,69.0,22,0,0,106.0,0,1.0986122886681098,4.248495242049359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11,1.0,1,0,0,2,289.5,13,0,0,90.0,0,1.0986122886681098,5.849324779946859,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,1.0,2,0,1,3,17.0,8,0,0,100.38,0,1.3862943611198906,2.8903717578961645,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1.0,3,0,2,1,97.0,20,0,0,159.3,2,0.6931471805599453,4.584967478670572,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1.0,1,0,2,1,80.0,10,0,0,100.0,0,0.6931471805599453,4.394449154672439,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15,1.0,1,0,0,3,75.0,16,0,0,130.5,1,1.3862943611198906,4.330733340286331,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,1.0,2,0,0,4,89.0,11,0,0,119.85,0,1.6094379124341003,4.499809670330265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,1.0,2,0,0,2,221.0,18,0,0,94.5,3,1.0986122886681098,5.402677381872279,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1.0,2,0,0,1,32.0,20,0,0,96.33,1,0.6931471805599453,3.4965075614664802,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,1.0,2,0,1,5,133.0,17,0,0,85.5,0,1.791759469228055,4.897839799950911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20,1.0,3,0,1,3,90.0,26,0,0,127.71,3,1.3862943611198906,4.51085950651685,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1.0,2,0,1,2,4.0,8,0,0,70.0,0,1.0986122886681098,1.6094379124341003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1.0,1,0,1,1,1.0,1,0,0,124.0,1,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1.0,2,0,1,2,101.0,4,0,0,80.0,0,1.0986122886681098,4.624972813284271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,1.0,2,0,1,5,68.0,30,0,0,131.4,1,1.791759469228055,4.23410650459726,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1.0,2,2,2,6,14.0,8,0,0,180.37874999999997,1,1.9459101490553132,2.70805020110221,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
26,1.0,2,0,2,3,148.0,28,0,0,79.9,2,1.3862943611198906,5.003946305945459,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
27,1.0,2,0,0,3,91.0,20,0,0,132.3,2,1.3862943611198906,4.5217885770490405,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
28,1.0,2,0,0,2,28.0,19,0,0,109.0,0,1.0986122886681098,3.367295829986474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
29,1.0,2,0,0,2,40.0,9,0,0,165.6,0,1.0986122886681098,3.713572066704308,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
30,1.0,1,0,0,3,73.0,16,0,0,115.04,1,1.3862943611198906,4.30406509320417,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,1.0,1,0,1,0,131.0,10,0,0,108.0,0,0.0,4.882801922586371,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
32,1.0,1,0,2,4,245.0,6,0,0,110.0,0,1.6094379124341003,5.5053315359323625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
33,1.0,2,0,1,0,16.0,1,0,0,121.0,1,0.0,2.833213344056216,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1.0,2,0,2,3,244.0,30,0,0,85.85,0,1.3862943611198906,5.501258210544727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
35,1.0,2,0,0,1,1.0,3,0,0,105.0,0,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,1.0,1,0,0,3,289.5,13,0,0,80.0,0,1.3862943611198906,5.817111159963204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
37,1.0,2,0,1,3,109.0,18,0,0,76.5,1,1.3862943611198906,4.700480365792417,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,1.0,2,0,0,3,160.0,30,0,0,70.0,0,1.3862943611198906,5.081404364984463,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,1.0,2,1,1,3,235.0,27,0,0,106.25,0,1.3862943611198906,5.4638318050256105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
40,1.0,2,0,0,3,213.0,7,0,0,130.0,0,1.3862943611198906,5.365976015021851,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
41,1.0,2,0,2,2,43.0,19,0,0,68.0,0,1.0986122886681098,3.784189633918261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42,1.0,1,0,2,0,18.0,12,0,0,114.0,0,0.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
43,1.0,1,0,2,4,107.0,23,0,0,46.63,1,1.6094379124341003,4.68213122712422,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,1.0,3,0,1,3,13.0,5,0,0,169.5,2,1.3862943611198906,2.6390573296152584,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,1.0,1,0,0,1,1.0,13,0,2,79.0,1,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,1.0,1,0,0,1,182.0,12,0,0,120.0,0,0.6931471805599453,5.209486152841421,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
47,1.0,2,0,1,3,62.0,18,0,0,70.78,1,1.3862943611198906,4.143134726391533,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,1.0,2,0,1,4,7.0,18,0,0,48.4,0,1.6094379124341003,2.0794415416798357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,1.0,2,0,2,2,169.0,22,0,0,106.0,0,1.0986122886681098,5.135798437050262,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,1.0,2,0,0,2,37.0,16,0,0,94.5,0,1.0986122886681098,3.6375861597263857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51,1.0,2,0,0,5,115.0,23,0,0,131.4,2,1.791759469228055,4.7535901911063645,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1.0,2,0,2,1,3.0,10,0,0,116.4,0,0.6931471805599453,1.3862943611198906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
53,1.0,2,0,0,0,33.0,7,0,0,20.968750000000014,0,0.0,3.5263605246161616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,1.0,3,0,0,2,23.0,1,0,0,180.37874999999997,2,1.0986122886681098,3.1780538303479458,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,1.0,3,0,0,2,1.0,29,0,0,180.37874999999997,1,1.0986122886681098,0.6931471805599453,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,1.0,2,0,2,1,205.0,29,0,0,90.0,0,0.6931471805599453,5.327876168789581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
