,0
0,const
1,no_of_weekend_nights
2,lead_time
3,no_of_previous_bookings_not_canceled
4,avg_price_per_room
5,no_of_special_requests
6,lead_time_log
7,type_of_meal_plan_Meal Plan 2
8,type_of_meal_plan_Not Selected
9,required_car_parking_space_Yes
10,room_type_reserved_Room_Type 2
11,room_type_reserved_Room_Type 4
12,arrival_year_2018
13,arrival_month_August
14,arrival_month_December
15,arrival_month_February
16,arrival_month_January
17,arrival_month_July
18,arrival_month_May
19,arrival_month_November
20,arrival_month_September
21,market_segment_type_Corporate
22,market_segment_type_Offline
