,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
23208,INN23209,2,1,1,3,Meal Plan 1,0,Room_Type 1,33,2018,5,9,Online,0,0,0,143.1,0,Canceled
18082,INN18083,1,0,3,6,Meal Plan 1,0,Room_Type 1,2,2017,12,5,Corporate,0,0,0,91.67,0,Not_Canceled
7423,INN07424,2,0,1,3,Meal Plan 1,0,Room_Type 1,39,2018,10,24,Offline,0,0,0,85.0,0,Not_Canceled
17652,INN17653,2,0,2,2,Meal Plan 1,0,Room_Type 1,90,2018,5,7,Online,0,0,0,119.85,0,Not_Canceled
27339,INN27340,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
15469,INN15470,1,0,1,0,Meal Plan 1,0,Room_Type 4,5,2018,9,12,Aviation,0,0,0,110.0,0,Canceled
34677,INN34678,2,0,1,0,Meal Plan 1,0,Room_Type 1,8,2018,4,24,Online,0,0,0,101.0,0,Canceled
29651,INN29652,1,1,0,3,Meal Plan 1,0,Room_Type 4,127,2018,12,27,Online,0,0,0,84.05,1,Canceled
26340,INN26341,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
6103,INN06104,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75.0,0,Canceled
29253,INN29254,2,0,0,2,Meal Plan 2,0,Room_Type 1,69,2017,9,22,Offline,0,0,0,106.0,0,Not_Canceled
7436,INN07437,1,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,90.0,0,Not_Canceled
609,INN00610,2,0,1,3,Meal Plan 1,0,Room_Type 1,17,2018,12,8,Online,0,0,0,100.38,0,Not_Canceled
23387,INN23388,3,0,2,1,Meal Plan 1,1,Room_Type 4,97,2018,8,20,Online,0,0,0,159.3,2,Not_Canceled
26415,INN26416,1,0,2,1,Meal Plan 2,0,Room_Type 1,80,2018,4,10,Offline,0,0,0,100.0,0,Canceled
13358,INN13359,1,0,0,3,Meal Plan 1,0,Room_Type 1,75,2018,6,16,Online,0,0,0,130.5,1,Not_Canceled
22349,INN22350,2,0,0,4,Meal Plan 1,0,Room_Type 1,89,2018,5,11,Online,0,0,0,119.85,0,Not_Canceled
27135,INN27136,2,0,0,2,Not Selected,1,Room_Type 1,221,2018,8,18,Online,0,0,0,94.5,3,Not_Canceled
31267,INN31268,2,0,0,1,Not Selected,0,Room_Type 1,32,2018,8,20,Online,0,0,0,96.33,1,Not_Canceled
33161,INN33162,2,0,1,5,Meal Plan 1,0,Room_Type 1,133,2018,5,17,Offline,0,0,0,85.5,0,Not_Canceled
12643,INN12644,3,0,1,3,Meal Plan 1,0,Room_Type 4,90,2018,12,26,Online,0,0,0,127.71,3,Not_Canceled
906,INN00907,2,0,1,2,Meal Plan 1,0,Room_Type 1,4,2018,1,8,Offline,0,0,0,70.0,0,Not_Canceled
11629,INN11630,1,0,1,1,Meal Plan 1,0,Room_Type 1,1,2018,8,1,Online,0,0,0,124.0,1,Not_Canceled
9642,INN09643,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Offline,0,0,0,80.0,0,Canceled
18241,INN18242,2,0,1,5,Meal Plan 1,0,Room_Type 1,68,2018,8,30,Online,0,0,0,131.4,1,Not_Canceled
32085,INN32086,2,2,2,6,Meal Plan 1,0,Room_Type 6,14,2018,6,8,Online,0,0,0,204.75,1,Canceled
13626,INN13627,2,0,2,3,Meal Plan 1,0,Room_Type 1,148,2017,8,28,Online,0,0,0,79.9,2,Canceled
32974,INN32975,2,0,0,3,Meal Plan 1,0,Room_Type 4,91,2018,10,20,Online,0,0,0,132.3,2,Canceled
16370,INN16371,2,0,0,2,Meal Plan 1,0,Room_Type 1,28,2018,5,19,Corporate,0,0,0,109.0,0,Not_Canceled
29062,INN29063,2,0,0,2,Meal Plan 2,0,Room_Type 4,40,2018,6,9,Online,0,0,0,165.6,0,Canceled
5122,INN05123,1,0,0,3,Meal Plan 1,0,Room_Type 4,73,2018,6,16,Online,0,0,0,115.04,1,Not_Canceled
33909,INN33910,1,0,1,0,Not Selected,0,Room_Type 1,131,2018,10,10,Online,0,0,0,108.0,0,Canceled
5704,INN05705,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110.0,0,Canceled
31279,INN31280,2,0,1,0,Meal Plan 1,0,Room_Type 1,16,2018,8,1,Online,0,0,0,121.0,1,Not_Canceled
26433,INN26434,2,0,2,3,Meal Plan 1,0,Room_Type 1,244,2018,10,30,Online,0,0,0,85.85,0,Canceled
27399,INN27400,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,9,3,Online,0,0,0,105.0,0,Not_Canceled
6128,INN06129,1,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,80.0,0,Not_Canceled
1368,INN01369,2,0,1,3,Not Selected,0,Room_Type 1,109,2018,4,18,Online,0,0,0,76.5,1,Canceled
14872,INN14873,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,2017,12,30,Offline,0,0,0,70.0,0,Not_Canceled
2159,INN02160,2,1,1,3,Meal Plan 1,0,Room_Type 1,235,2018,10,27,Online,0,0,0,106.25,0,Canceled
25309,INN25310,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
10742,INN10743,2,0,2,2,Meal Plan 1,0,Room_Type 1,43,2018,11,19,Offline,0,0,0,68.0,0,Not_Canceled
13960,INN13961,1,0,2,0,Meal Plan 1,0,Room_Type 1,18,2018,6,12,Online,0,0,0,114.0,0,Canceled
15820,INN15821,1,0,2,4,Meal Plan 1,0,Room_Type 1,107,2017,12,23,Online,0,0,0,46.63,1,Not_Canceled
20042,INN20043,3,0,1,3,Meal Plan 1,0,Room_Type 4,13,2018,5,5,Online,0,0,0,169.5,2,Not_Canceled
18062,INN18063,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,12,13,Corporate,1,0,2,79.0,1,Not_Canceled
21759,INN21760,1,0,0,1,Meal Plan 1,0,Room_Type 1,182,2018,10,12,Offline,0,0,0,120.0,0,Canceled
19599,INN19600,2,0,1,3,Not Selected,0,Room_Type 1,62,2018,7,18,Online,0,0,0,70.78,1,Not_Canceled
3032,INN03033,2,0,1,4,Meal Plan 1,0,Room_Type 1,7,2018,1,18,Offline,0,0,0,48.4,0,Not_Canceled
16992,INN16993,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,106.0,0,Canceled
5007,INN05008,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,2017,9,16,Online,0,0,0,94.5,0,Not_Canceled
20697,INN20698,2,0,0,5,Meal Plan 1,0,Room_Type 4,115,2018,8,23,Online,0,0,0,131.4,2,Not_Canceled
