,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
29483,INN29484,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Online,0,0,0,6.0,0,Not_Canceled
1755,INN01756,2,0,1,2,Meal Plan 1,0,Room_Type 1,6,2017,8,14,Online,0,0,0,95.33,2,Not_Canceled
3474,INN03475,2,0,1,3,Meal Plan 1,0,Room_Type 1,245,2018,12,29,Online,0,0,0,145.8,1,Not_Canceled
18400,INN18401,1,0,3,6,Meal Plan 1,0,Room_Type 1,2,2017,12,5,Corporate,0,0,0,91.67,0,Not_Canceled
1248,INN01249,1,0,2,1,Not Selected,0,Room_Type 1,6,2018,9,25,Online,0,0,0,159.0,2,Not_Canceled
15914,INN15915,1,0,1,2,Meal Plan 1,0,Room_Type 1,14,2017,10,19,Online,0,0,0,120.0,1,Not_Canceled
7866,INN07867,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,115.0,1,Canceled
685,INN00686,2,0,1,3,Meal Plan 1,0,Room_Type 4,61,2018,3,21,Online,0,0,0,102.0,0,Not_Canceled
23774,INN23775,1,0,1,3,Meal Plan 1,0,Room_Type 5,68,2018,11,7,Online,0,0,0,220.0,2,Not_Canceled
35436,INN35437,2,0,2,2,Not Selected,1,Room_Type 1,32,2018,12,17,Online,0,0,0,66.59,1,Not_Canceled
34294,INN34295,2,0,1,3,Meal Plan 1,0,Room_Type 4,134,2018,9,29,Online,0,0,0,137.7,2,Canceled
17881,INN17882,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2017,11,23,Corporate,1,0,1,65.0,0,Not_Canceled
23941,INN23942,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,2018,10,28,Online,0,0,0,109.8,0,Canceled
7361,INN07362,2,0,0,3,Meal Plan 1,0,Room_Type 1,14,2018,2,24,Offline,0,0,0,87.0,0,Not_Canceled
35340,INN35341,2,0,0,3,Meal Plan 1,0,Room_Type 1,5,2017,8,13,Online,0,0,0,98.0,1,Canceled
5328,INN05329,1,0,2,4,Meal Plan 1,0,Room_Type 1,21,2018,3,31,Online,0,0,0,135.0,0,Canceled
5227,INN05228,2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2017,10,1,Online,0,0,0,103.05,1,Not_Canceled
32458,INN32459,2,0,0,4,Meal Plan 1,0,Room_Type 1,42,2018,11,9,Online,0,0,0,133.03,1,Not_Canceled
