,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
10010,INN10011,3,0,1,2,Meal Plan 1,0,Room_Type 1,165,2018,8,12,Online,0,0,0,146.7,0,Canceled
11433,INN11434,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,9,15,Online,0,0,0,169.0,0,Canceled
21619,INN21620,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2018,6,22,Online,0,0,0,99.9,2,Not_Canceled
26404,INN26405,1,0,0,3,Meal Plan 1,0,Room_Type 4,28,2018,6,14,Online,0,0,0,108.42,1,Not_Canceled
23444,INN23445,1,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,87.0,0,Not_Canceled
4571,INN04572,1,0,2,5,Not Selected,0,Room_Type 1,7,2017,12,23,Online,0,0,0,59.14,0,Not_Canceled
8395,INN08396,2,0,2,4,Meal Plan 1,0,Room_Type 4,26,2018,12,4,Online,0,0,0,114.0,1,Not_Canceled
707,INN00708,2,0,0,3,Not Selected,0,Room_Type 1,146,2018,7,13,Online,0,0,0,94.5,1,Not_Canceled
2621,INN02622,1,0,1,2,Meal Plan 1,0,Room_Type 1,152,2018,8,26,Online,0,0,0,90.9,0,Canceled
9435,INN09436,2,0,2,1,Meal Plan 1,0,Room_Type 1,3,2017,9,19,Corporate,0,0,0,120.0,0,Not_Canceled
25240,INN25241,2,0,3,5,Meal Plan 1,0,Room_Type 1,160,2018,7,25,Online,0,0,0,71.6,0,Canceled
33852,INN33853,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,2018,4,23,Offline,0,0,0,71.0,0,Not_Canceled
1969,INN01970,2,1,2,1,Meal Plan 1,0,Room_Type 1,10,2017,12,5,Online,0,0,0,79.39,1,Not_Canceled
18136,INN18137,1,0,0,2,Meal Plan 1,0,Room_Type 1,8,2017,12,9,Corporate,0,0,0,79.0,0,Not_Canceled
6461,INN06462,2,0,0,3,Meal Plan 1,0,Room_Type 1,188,2018,6,2,Offline,0,0,0,80.75,0,Not_Canceled
22197,INN22198,2,0,1,1,Meal Plan 1,0,Room_Type 1,64,2018,12,3,Online,1,0,1,93.6,1,Not_Canceled
1955,INN01956,2,0,0,4,Meal Plan 1,0,Room_Type 1,178,2018,10,26,Online,0,0,0,90.9,2,Not_Canceled
5501,INN05502,2,2,0,1,Meal Plan 1,0,Room_Type 2,32,2018,9,2,Online,0,0,0,198.9,0,Canceled
16167,INN16168,1,0,0,4,Meal Plan 2,0,Room_Type 1,100,2018,9,28,Offline,0,0,0,110.0,0,Not_Canceled
